t,symbol,r
1705941900,Wall_Street_30,1.5884406848464294
1705968000,Japan_225,-1.0599999999999763
1705971600,Germany_40,-1.0600000000000127
1705973400,Japan_225,2.9399999999999706
1705977000,France_40,-1.0599999999999459
1705982400,Japan_225,0.44455687593068466
1705994100,France_40,-1.059999999999988
1705994100,Germany_40,2.9399999999998974
1705995000,US_Small_Cap_2000,-1.0600000000000478
1705996800,UK_100,-1.05999999999995
1705998600,UK_100,2.9400000000000297
1705998600,US_SP_500,-1.0599999999999459
1705998600,US_Small_Cap_2000,-1.0600000000000458
1706000400,Germany_40,0.12725135324472664
1706000400,Japan_225,-1.0599999999999885
1706000400,US_Tech_100,-1.0600000000001395
1706000400,Wall_Street_30,-1.0600000000000849
1706001300,France_40,0.12171120413738236
1706002200,US_Small_Cap_2000,0.3655310659357605
1706010300,Wall_Street_30,-1.0600000000000405
1706012100,US_Tech_100,2.9400000000000004
1706013000,UK_100,-1.059999999999978
1706017500,US_SP_500,-1.0599999999999008
1706021100,Germany_40,-1.0599999999999554
1706021100,US_Small_Cap_2000,-1.0600000000000256
1706021100,US_Tech_100,0.8753149247290722
1706022000,Wall_Street_30,2.939999999999963
1706023800,UK_100,-1.0599999999999627
1706025600,US_Small_Cap_2000,1.578411354912985
1706028300,US_SP_500,-1.0599999999999425
1706028300,Wall_Street_30,-1.0600000000000966
1706029200,UK_100,-0.9143023750499744
1706037300,Wall_Street_30,1.4661939820850907
1706040900,US_SP_500,2.9400000000000657
1706054400,Germany_40,0.8087766947067562
1706057100,Japan_225,-1.0599999999999337
1706062500,Japan_225,2.0089242855259046
1706063400,UK_100,-1.0600000000000307
1706067000,France_40,0.312090067556176
1706067000,Germany_40,1.0438426314043576
1706067000,UK_100,-0.2524161421112356
1706080500,US_Tech_100,2.9400000000000523
1706082300,France_40,-1.0600000000000496
1706082300,Germany_40,-1.0600000000000687
1706082300,UK_100,-1.0599999999999767
1706082300,US_SP_500,-1.0600000000001668
1706082300,US_Small_Cap_2000,2.794493197622471
1706082300,Wall_Street_30,-1.060000000000138
1706084100,Germany_40,-1.0600000000000485
1706089500,Japan_225,-1.060000000000038
1706090400,US_Small_Cap_2000,-1.059999999999951
1706090400,US_Tech_100,-0.8096163280968754
1706093100,UK_100,-1.0600000000000265
1706096700,Wall_Street_30,2.940000000000183
1706102100,US_SP_500,-1.0599999999998557
1706102100,US_Small_Cap_2000,-1.0599999999999878
1706103000,US_Tech_100,-1.059999999999969
1706103000,Wall_Street_30,-1.0599999999999759
1706107500,UK_100,0.02300435856161475
1706110200,US_Small_Cap_2000,-1.0600000000000092
1706110200,Wall_Street_30,-1.060000000000071
1706111100,Japan_225,2.879825182189157
1706112000,US_Small_Cap_2000,0.5049731216664787
1706112000,US_Tech_100,2.940000000000028
1706113800,Wall_Street_30,-1.0599999999999963
1706119200,Japan_225,-1.0600000000000227
1706119200,US_Tech_100,-1.0600000000000491
1706124600,US_Tech_100,1.99631755459999
1706125500,France_40,2.940000000000044
1706125500,Germany_40,2.9399999999999493
1706125500,US_SP_500,2.939999999999978
1706125500,US_Small_Cap_2000,1.4553688378000575
1706125500,Wall_Street_30,2.939999999999992
1706131800,US_SP_500,-0.09771658980135585
1706137200,Japan_225,-1.0600000000000567
1706141700,Germany_40,-1.059999999999987
1706148000,Japan_225,-1.059999999999996
1706165100,UK_100,-1.0600000000000995
1706168700,France_40,-1.0599999999999516
1706171400,UK_100,-1.0600000000000351
1706171400,US_Small_Cap_2000,-1.060000000000012
1706172300,Germany_40,-1.060000000000074
1706175900,US_Small_Cap_2000,-1.0599999999999743
1706176800,UK_100,-1.0599999999999732
1706181300,UK_100,0.42493191544357395
1706183100,Wall_Street_30,-1.0599999999999763
1706184900,US_Tech_100,-1.0600000000000687
1706188500,Wall_Street_30,-1.0599999999999303
1706193000,France_40,1.3344732632331595
1706193000,Germany_40,1.340619442092178
1706193000,UK_100,-1.0600000000000005
1706193000,US_SP_500,2.940000000000043
1706193000,US_Small_Cap_2000,2.940000000000008
1706193000,US_Tech_100,-1.0600000000000545
1706193000,Wall_Street_30,2.9399999999999635
1706206500,France_40,1.985205014832238
1706211900,US_Tech_100,-1.0599999999999987
1706216400,Wall_Street_30,-0.7948073580061261
1706219100,US_SP_500,-1.060000000000011
1706225400,Japan_225,2.939999999999972
1706226300,Germany_40,-1.060000000000058
1706228100,UK_100,-1.0600000000000347
1706237100,UK_100,-1.0599999999999945
