t,symbol,r
1705941,Wall Street 30,1.6157909237626524
1705967,Japan 225,-1.0695674428640007
1705968,Germany 40,-1.020252821701415
1705971,Japan 225,2.9304325571359464
1705976,France 40,-1.084867210834929
1705981,Japan 225,0.4349894330666604
1705993,US Small Cap 2000,-1.0580553351077253
1705993,Germany 40,2.979747178298495
1705993,France 40,-1.0848672108349713
1705994,UK 100,-1.0708175699054143
1705997,UK 100,2.929182430094565
1705997,US SP 500,-1.0546069426446085
1705997,US Tech 100,-1.0243547327931624
1705997,US Small Cap 2000,-1.0580553351077233
1705998,Japan 225,-1.069567442864013
1705998,Wall Street 30,-1.032649761083862
1705998,Germany 40,0.16699853154332409
1705998,France 40,0.0968439933023991
1706001,US Small Cap 2000,0.36747573082808294
1706009,Wall Street 30,-1.0326497610838177
1706011,US Tech 100,2.975645267206978
1706012,UK 100,-1.0708175699054425
1706016,US SP 500,-1.0546069426445634
1706018,Germany 40,-1.020252821701358
1706020,Wall Street 30,2.967350238916186
1706020,US Small Cap 2000,-1.0580553351077033
1706020,US Tech 100,0.9109601919360495
1706022,UK 100,-1.070817569905427
1706023,US Small Cap 2000,1.5803560198053075
1706026,Wall Street 30,-1.0326497610838736
1706026,US SP 500,-1.0546069426446052
1706027,UK 100,-0.9251199449554387
1706035,Wall Street 30,1.493544221001314
1706040,US SP 500,2.9453930573554032
1706051,Germany 40,0.8485238730053536
1706054,Japan 225,-1.0695674428639579
1706061,Japan 225,1.9993568426618806
1706061,UK 100,-1.070817569905495
1706066,Germany 40,1.0835898097029553
1706066,UK 100,-0.2632337120166999
1706066,France 40,0.2872228567211928
1706079,US Tech 100,2.97564526720703
1706081,US SP 500,-1.0546069426448295
1706081,UK 100,-1.070817569905441
1706081,US Small Cap 2000,2.7964378625147934
1706081,France 40,-1.0848672108350328
1706081,Wall Street 30,-1.032649761083915
1706081,Germany 40,-1.0202528217014712
1706083,Germany 40,-1.020252821701451
1706087,Japan 225,-1.0695674428640622
1706088,US Tech 100,-0.7739710608898983
1706089,US Small Cap 2000,-1.0580553351076287
1706092,UK 100,-1.070817569905491
1706095,Wall Street 30,2.967350238916406
1706101,US Small Cap 2000,-1.0580553351076656
1706101,US Tech 100,-1.0243547327929918
1706101,US SP 500,-1.0546069426445184
1706102,Wall Street 30,-1.0326497610837528
1706106,UK 100,0.012186788656150445
1706107,US Small Cap 2000,-1.0580553351076867
1706107,Wall Street 30,-1.032649761083848
1706109,US Tech 100,2.9756452672070055
1706110,Japan 225,2.8702577393251327
1706111,US Small Cap 2000,0.5069177865588009
1706112,Wall Street 30,-1.0326497610837733
1706116,US Tech 100,-1.024354732793072
1706118,Japan 225,-1.069567442864047
1706122,France 40,2.9151327891650602
1706122,Germany 40,2.9797471782985467
1706122,US Small Cap 2000,1.45731350269238
1706122,Wall Street 30,2.967350238916215
1706122,US SP 500,2.9453930573553153
1706123,US Tech 100,2.031962821806967
1706130,US SP 500,-0.09232353244601851
1706132,Japan 225,-1.069567442864081
1706140,Germany 40,-1.0202528217013895
1706146,Japan 225,-1.0695674428640203
1706163,UK 100,-1.070817569905564
1706167,France 40,-1.0848672108349346
1706170,Germany 40,-1.0202528217014766
1706170,US Small Cap 2000,-1.0580553351076898
1706170,UK 100,-1.0708175699054996
1706174,US Small Cap 2000,-1.058055335107652
1706175,UK 100,-1.0708175699054376
1706179,UK 100,0.4141143455381096
1706182,Wall Street 30,-1.0326497610837533
1706184,US Tech 100,-1.0243547327930915
1706187,Wall Street 30,-1.0326497610837073
1706190,Wall Street 30,2.9673502389161865
1706190,US Tech 100,-1.0243547327930773
1706190,US Small Cap 2000,2.94194466489233
1706190,US SP 500,2.9453930573553806
1706191,Germany 40,1.3803666203907752
1706191,UK 100,-1.0708175699054647
1706191,France 40,1.3096060523981763
