t,symbol,r
1705941,Wall Street 30,1.6157909237626524
1705997,US Tech 100,-1.0243547327931624
1705998,Wall Street 30,-1.032649761083862
1706009,Wall Street 30,-1.0326497610838177
1706011,US Tech 100,2.975645267206978
1706020,Wall Street 30,2.967350238916186
1706020,US Tech 100,0.9109601919360495
1706026,Wall Street 30,-1.0326497610838736
1706035,Wall Street 30,1.493544221001314
1706079,US Tech 100,2.97564526720703
1706081,Wall Street 30,-1.032649761083915
1706088,US Tech 100,-0.7739710608898983
1706095,Wall Street 30,2.967350238916406
1706101,US Tech 100,-1.0243547327929918
1706102,Wall Street 30,-1.0326497610837528
1706107,Wall Street 30,-1.032649761083848
1706109,US Tech 100,2.9756452672070055
1706112,Wall Street 30,-1.0326497610837733
1706116,US Tech 100,-1.024354732793072
1706122,Wall Street 30,2.967350238916215
1706123,US Tech 100,2.031962821806967
1706182,Wall Street 30,-1.0326497610837533
1706184,US Tech 100,-1.0243547327930915
1706187,Wall Street 30,-1.0326497610837073
1706190,Wall Street 30,2.9673502389161865
1706190,US Tech 100,-1.0243547327930773
1706209,US Tech 100,-1.0243547327930216
1706215,Wall Street 30,-0.7674571190899031
1706243,Wall Street 30,0.9482887887476403
1706262,US Tech 100,1.698231970199456
1706271,US Tech 100,-1.024354732792951
1706271,Wall Street 30,-1.0326497610836618
1706279,Wall Street 30,-1.0326497610838412
1706283,Wall Street 30,-1.032649761083829
1706283,US Tech 100,-1.0243547327930054
1706293,Wall Street 30,-1.032649761083723
1706293,US Tech 100,0.36064162513647924
1706492,US Tech 100,0.5113289547179877
1706513,Wall Street 30,-1.0326497610838956
1706517,US Tech 100,-1.0243547327930722
1706520,Wall Street 30,-1.0326497610836343
1706535,US Tech 100,-1.0243547327930487
1706539,Wall Street 30,-1.032649761083743
1706548,US Tech 100,1.947646665851311
1706559,US Tech 100,1.7152840335173885
1706559,Wall Street 30,0.19236764362992104
1706598,US Tech 100,-1.0243547327931612
1706598,Wall Street 30,-1.032649761083561
1706602,Wall Street 30,0.8279798604690047
1706604,US Tech 100,-1.0243547327931384
1706621,US Tech 100,-1.0243547327930724
1706625,Wall Street 30,-1.0326497610839138
1706633,Wall Street 30,2.1122851056509275
1706635,US Tech 100,0.15630654903424612
1706656,US Tech 100,0.31983167700386583
1706687,Wall Street 30,2.9673502389159947
1706688,US Tech 100,-1.024354732792925
1706689,Wall Street 30,-1.0326497610836263
1706692,US Tech 100,-0.7614554655494187
1706694,Wall Street 30,-1.0326497610836374
1706702,US Tech 100,2.9756452672069837
1706711,US Tech 100,2.975645267206987
1706727,Wall Street 30,-1.03264976108379
1706729,US Tech 100,-1.02435473279301
1706733,Wall Street 30,0.5433471690988952
1706769,US Tech 100,-1.0243547327929248
1706771,Wall Street 30,-1.0326497610837688
1706775,US Tech 100,0.3221165317173366
1706776,Wall Street 30,0.9431509144732427
1706789,Wall Street 30,-1.0326497610837955
1706793,Wall Street 30,-1.032649761083643
1706800,Wall Street 30,-1.0326497610837326
1706806,US Tech 100,0.7217007273914129
1706809,Wall Street 30,1.213430484401195
1706822,US Tech 100,0.8152086400000692
1706860,US Tech 100,-1.0243547327931435
1706864,US Tech 100,-1.0243547327931286
1706875,Wall Street 30,-1.0326497610838004
1706881,Wall Street 30,-1.032649761083775
1706881,US Tech 100,-1.0243547327930906
1706886,US Tech 100,2.975645267207012
1706889,Wall Street 30,2.9673502389162487
1706894,US Tech 100,-1.0243547327930609
1706903,Wall Street 30,-1.032649761083806
1706909,Wall Street 30,1.165922417893717
1707124,Wall Street 30,-1.0326497610839167
1707126,US Tech 100,-1.0243547327929248
1707129,Wall Street 30,-1.0326497610836396
1707133,Wall Street 30,-1.0326497610836622
1707140,Wall Street 30,-1.0326497610838201
1707147,US Tech 100,-1.0243547327930849
1707147,Wall Street 30,-1.0326497610837857
1707154,US Tech 100,1.4850129666304852
1707154,Wall Street 30,2.091188364035878
1707203,US Tech 100,-1.024354732793083
1707208,Wall Street 30,2.967350238916314
1707214,Wall Street 30,-1.0326497610838188
1707219,US Tech 100,-1.024354732793093
1707227,US Tech 100,-1.024354732792999
1707228,Wall Street 30,-1.032649761083765
1707231,US Tech 100,2.9756452672070144
1707252,Wall Street 30,0.4137587974085184
1707267,US Tech 100,-0.827029980071368
1707298,US Tech 100,-1.0243547327929499
1707302,Wall Street 30,-1.0326497610835867
1707310,Wall Street 30,2.9673502389163176
1707310,US Tech 100,2.9756452672070193
1707318,Wall Street 30,-0.38827272418400305
1707318,US Tech 100,-1.0243547327929887
1707380,US Tech 100,-1.0243547327932212
1707383,Wall Street 30,-1.0326497610839092
1707384,US Tech 100,-1.0243547327929914
1707390,Wall Street 30,-1.0326497610837904
1707390,US Tech 100,-1.0243547327930946
1707395,Wall Street 30,2.9673502389160857
1707407,US Tech 100,-1.0243547327930442
1707408,Wall Street 30,-1.032649761083872
1707465,US Tech 100,2.9756452672070646
1707466,Wall Street 30,1.7287037688865097
1707468,US Tech 100,-1.0243547327931337
1707473,US Tech 100,0.5102222140786701
1707483,Wall Street 30,-1.0326497610837384
1707488,Wall Street 30,2.9673502389162203
1707493,US Tech 100,2.0006331111222546
1707497,Wall Street 30,-1.032649761083686
1707502,Wall Street 30,0.6241477246251446
1707722,US Tech 100,2.339418121708094
1707727,Wall Street 30,-1.0326497610838132
1707732,Wall Street 30,0.34011056201583906
1707749,Wall Street 30,2.967350238916143
1707752,US Tech 100,2.9756452672069935
1707755,Wall Street 30,-0.01380685271953421
1707762,US Tech 100,2.9756452672069154
1707767,Wall Street 30,0.22525688387126241
1707804,US Tech 100,-1.0243547327928415
1707804,Wall Street 30,-1.0326497610840055
1707813,Wall Street 30,-1.0326497610839296
1707813,US Tech 100,2.9756452672069567
1707819,US Tech 100,2.9756452672068816
1707827,US Tech 100,-1.024354732793106
1707831,Wall Street 30,2.9673502389162136
1707832,US Tech 100,-1.0243547327930644
1707835,Wall Street 30,-1.032649761083732
1707838,US Tech 100,-1.024354732793032
1707850,Wall Street 30,-1.032649761083786
1707853,US Tech 100,-1.0243547327930325
1707894,Wall Street 30,2.967350238916035
1707894,US Tech 100,2.9756452672068807
1707903,Wall Street 30,-1.0326497610836909
1707903,US Tech 100,-1.0243547327930653
1707923,US Tech 100,-1.0243547327930316
1707926,US Tech 100,-1.0243547327930542
1707941,Wall Street 30,0.6734320196813797
1707981,Wall Street 30,-1.032649761083953
1707981,US Tech 100,-1.0243547327930766
1707984,Wall Street 30,-0.445220844478776
1707994,Wall Street 30,-1.0326497610838852
1708003,Wall Street 30,-1.0326497610837089
1708007,US Tech 100,2.97564526720698
1708009,Wall Street 30,1.3296301574523888
1708010,US Tech 100,-1.0243547327930609
1708020,US Tech 100,-0.1812108299314179
1708026,Wall Street 30,1.10681410089307
1708067,US Tech 100,2.975645267207114
