type,state,reason,magic,volume_initial,volume_current,price_open,sl,tp,price_current,symbol,order_id,position_id,time_setup_utc,time_setup_msc_utc,time_done_utc,time_done_msc_utc
3,4,3,771025,14.55,0.0,29643.14,29677.49,29540.08,29643.63,US100.cash,07011e45c62d3780fdc5,3765373ecda1b892e412,2026-07-10T03:30:00Z,2026-07-10T03:30:00.504Z,2026-07-10T03:57:28Z,2026-07-10T03:57:28.998Z
0,4,4,771025,14.55,0.0,29677.49,0.0,0.0,29677.49,US100.cash,a0846799eb41b50dba7b,3765373ecda1b892e412,2026-07-10T04:39:02Z,2026-07-10T04:39:02.624Z,2026-07-10T04:39:02Z,2026-07-10T04:39:02.760Z
2,6,3,771025,2.4699999999999998,2.4699999999999998,63606.46,63405.81,64208.42,63841.09,BTCUSD,d8951c489daa6395edd1,c4ce06f8c78d069323ae,2026-07-10T05:00:00Z,2026-07-10T05:00:00.151Z,2026-07-10T05:45:00Z,2026-07-10T05:45:00.112Z
2,6,3,771025,2.41,2.41,63716.6,63510.79,64334.03,63819.9,BTCUSD,0c1780a2645f4a7a7cdc,c4ce06f8c78d069323ae,2026-07-10T05:45:00Z,2026-07-10T05:45:00.366Z,2026-07-10T06:30:00Z,2026-07-10T06:30:00.054Z
3,6,3,771025,16.9,16.9,29679.49,29708.92,29591.2,29614.13,US100.cash,5da2646ac877e5c22003,c4ce06f8c78d069323ae,2026-07-10T08:30:00Z,2026-07-10T08:30:00.447Z,2026-07-10T09:15:00Z,2026-07-10T09:15:00.148Z
3,4,3,771025,17.08,0.0,29594.7,29623.81,29507.36,29596.23,US100.cash,7b8dd1c539dc957c3b0e,ce97198c976ea5890d7d,2026-07-10T09:30:00Z,2026-07-10T09:30:00.334Z,2026-07-10T09:30:20Z,2026-07-10T09:30:20.284Z
3,4,3,771025,3.48,0.0,63918.68,64061.43,63490.45,63919.02,BTCUSD,70e73262dc24e852b085,c2a437e48b0bebc68174,2026-07-10T10:00:00Z,2026-07-10T10:00:00.449Z,2026-07-10T10:20:40Z,2026-07-10T10:20:40.728Z
0,4,4,771025,3.48,0.0,64061.43,0.0,0.0,64061.43,BTCUSD,bb637ee0b51b835f858b,c2a437e48b0bebc68174,2026-07-10T11:16:17Z,2026-07-10T11:16:17.028Z,2026-07-10T11:16:17Z,2026-07-10T11:16:17.181Z
0,4,3,771025,17.08,0.0,0.0,0.0,0.0,29558.28,US100.cash,dc0523345a56ad01b63a,ce97198c976ea5890d7d,2026-07-10T11:30:00Z,2026-07-10T11:30:00.301Z,2026-07-10T11:30:00Z,2026-07-10T11:30:00.443Z
2,4,3,771025,3.34,0.0,64298.13,64149.33,64744.54,64294.44,BTCUSD,69c2808e1116a5f9f5bd,ac2766111b43d993f8bb,2026-07-10T12:30:01Z,2026-07-10T12:30:01.951Z,2026-07-10T13:07:18Z,2026-07-10T13:07:18.754Z
