sym,sig,entry_bar,exit_bar,side,r,reason,ep_sig
Japan_225,47,48,48,-1,-1.0695674428640007,SL,1705967100
Japan_225,52,54,57,1,2.9304325571359464,TP,1705971600
Japan_225,63,64,71,-1,0.4349894330666604,TIME,1705981500
US_Tech_100,83,86,87,-1,-1.0243547327931624,SL,1705997700
Japan_225,82,84,89,-1,-1.069567442864013,SL,1705998600
Wall_Street_30,96,97,98,-1,-1.0326497610838177,SL,1706009400
Wall_Street_30,108,110,113,-1,2.967350238916186,TP,1706020200
Japan_225,140,143,143,-1,-1.0695674428639579,SL,1706054400
Wall_Street_30,174,175,182,1,0.26056813657922856,TIME,1706083200
Wall_Street_30,188,189,194,1,2.967350238916406,TP,1706095800
Wall_Street_30,207,208,214,1,-1.0326497610837733,SL,1706112900
Wall_Street_30,225,226,230,-1,-1.032649761083776,SL,1706129100
Wall_Street_30,280,281,282,-1,-1.0326497610837533,SL,1706182200
US_Tech_100,282,283,288,1,-1.0243547327930915,SL,1706184000
Wall_Street_30,289,292,294,1,2.9673502389161865,TP,1706190300
US_Tech_100,310,313,317,-1,-1.0243547327930216,SL,1706209200
Japan_225,322,323,324,-1,2.930432557136015,TP,1706225400
Japan_225,437,440,447,-1,1.068140278780516,TIME,1706505300
Wall_Street_30,477,478,479,1,-1.032649761083743,SL,1706539500
US_Tech_100,487,490,497,1,1.947646665851311,TIME,1706548500
Japan_225,504,506,507,1,-1.0695674428640427,SL,1706569200
US_Tech_100,538,541,544,-1,-1.0243547327931612,SL,1706598000
Wall_Street_30,568,570,571,1,-1.0326497610839138,SL,1706625000
Wall_Street_30,576,580,583,1,2.9673502389161355,TP,1706632200
Japan_225,598,599,600,-1,-1.0695674428640927,SL,1706657400
Wall_Street_30,633,634,635,1,2.9673502389159947,TP,1706687100
US_Tech_100,639,641,648,-1,-0.7614554655494187,TIME,1706692500
US_Tech_100,664,666,667,-1,-1.0243547327929792,SL,1706715000
Japan_225,666,667,674,-1,-0.24855633257946497,TIME,1706718600
Wall_Street_30,678,680,680,-1,-1.03264976108379,SL,1706727600
Japan_225,741,744,745,1,-1.069567442864023,SL,1706789700
Wall_Street_30,747,748,752,-1,-1.032649761083643,SL,1706793300
Japan_225,746,747,752,-1,-1.069567442863988,SL,1706794200
Japan_225,756,757,758,-1,-1.0695674428640405,SL,1706803200
Japan_225,791,792,797,1,-1.069567442864038,SL,1706838300
US_Tech_100,822,823,824,1,-1.0243547327931286,SL,1706864400
Wall_Street_30,844,845,847,-1,-1.032649761083756,SL,1706884200
Japan_225,847,848,855,1,1.3212312525826617,TIME,1706888700
Japan_225,879,882,884,-1,-1.069567442864022,SL,1707093900
Wall_Street_30,915,918,918,-1,-1.0326497610839167,SL,1707124500
Wall_Street_30,925,926,926,1,-1.0326497610836622,SL,1707133500
Wall_Street_30,933,935,935,-1,-1.0326497610838201,SL,1707140700
Japan_225,972,974,981,-1,-0.11983309512482242,TIME,1707181200
Japan_225,986,990,991,1,-1.0695674428640316,SL,1707193800
US_Tech_100,1001,1002,1005,1,-1.0243547327930136,SL,1707205500
Wall_Street_30,1011,1013,1014,-1,-1.0326497610838188,SL,1707214500
US_Tech_100,1067,1069,1076,1,-0.8768572662723291,TIME,1707268500
Japan_225,1075,1076,1077,-1,-1.0695674428640425,SL,1707277500
Wall_Street_30,1105,1107,1113,-1,-1.0326497610835867,SL,1707302700
Wall_Street_30,1114,1116,1119,1,2.9673502389163176,TP,1707310800
US_Tech_100,1119,1120,1120,1,-1.0243547327930405,SL,1707315300
Wall_Street_30,1125,1126,1133,1,0.3430906304587791,TIME,1707320700
US_Tech_100,1187,1188,1190,-1,-1.0243547327932212,SL,1707380100
US_Tech_100,1201,1202,1209,-1,-0.6735686522794,TIME,1707392700
Japan_225,1244,1245,1246,-1,-1.0695674428640314,SL,1707436800
US_Tech_100,1279,1280,1282,1,-1.0243547327930458,SL,1707466500
US_Tech_100,1287,1290,1297,1,0.5102222140786701,TIME,1707473700
Wall_Street_30,1300,1301,1301,1,-1.0326497610836927,SL,1707485400
US_Tech_100,1310,1311,1318,1,1.7208355904598314,TIME,1707494400
US_Tech_100,1367,1368,1375,1,2.339418121708094,TIME,1707722100
US_Tech_100,1404,1405,1407,1,-1.0243547327930056,SL,1707755400
US_Tech_100,1412,1413,1415,-1,2.9756452672069154,TP,1707762600
Japan_225,1429,1430,1432,1,-1.0695674428640125,SL,1707783300
Wall_Street_30,1465,1466,1472,-1,-1.0326497610839296,SL,1707813900
Japan_225,1483,1486,1493,-1,-0.15265682195237087,TIME,1707831900
Wall_Street_30,1507,1508,1513,-1,-1.0326497610837946,SL,1707851700
US_Tech_100,1551,1552,1559,1,2.9756452672068807,TP,1707894900
Wall_Street_30,1561,1562,1568,1,-1.0326497610836909,SL,1707903900
US_Tech_100,1583,1584,1584,1,-1.0243547327930316,SL,1707923700
Japan_225,1580,1582,1584,1,-1.0695674428639936,SL,1707922800
US_Tech_100,1586,1587,1592,-1,-1.0243547327930542,SL,1707926400
Japan_225,1614,1615,1622,-1,1.5681287115529847,TIME,1707957000
Japan_225,1635,1636,1643,1,0.7880391538193964,TIME,1707975900
US_Tech_100,1672,1673,1674,-1,2.97564526720698,TP,1708007400
US_Tech_100,1675,1676,1683,-1,-1.0243547327930609,SL,1708010100
Japan_225,1702,1703,1703,1,-1.069567442863977,SL,1708039800
US_Tech_100,1760,1761,1762,-1,-1.024354732792977,SL,1708090200
Wall_Street_30,1762,1763,1763,-1,-1.0326497610836958,SL,1708092000
Japan_225,1763,1764,1769,-1,-1.0695674428640558,SL,1708094700
Japan_225,1770,1772,1779,1,0.7639583003669127,TIME,1708101000
Wall_Street_30,1785,1788,1795,-1,1.118340581404188,TIME,1708112700
Japan_225,1790,1792,1794,-1,-1.0695674428640276,SL,1708119000
Japan_225,1796,1799,1800,1,-1.0695674428640236,SL,1708300800
Japan_225,1872,1873,1874,-1,-1.069567442863978,SL,1708387200
US_Tech_100,1908,1909,1911,-1,-1.0243547327930558,SL,1708416900
Wall_Street_30,1913,1914,1914,1,-1.0326497610837722,SL,1708422300
Wall_Street_30,1932,1934,1941,1,-1.032649761083863,SL,1708439400
Japan_225,1932,1933,1940,-1,1.9510134094934084,TIME,1708441200
Wall_Street_30,1942,1946,1953,-1,-1.0326497610838417,SL,1708448400
Japan_225,1969,1970,1972,1,-1.069567442863983,SL,1708478100
Japan_225,2024,2025,2032,1,-1.0695674428641033,SL,1708527600
US_Tech_100,2049,2052,2052,1,-1.024354732793061,SL,1708547400
Wall_Street_30,2051,2053,2060,1,0.8836243817918333,TIME,1708550100
US_Tech_100,2091,2095,2102,1,1.2101597125383774,TIME,1708588800
Wall_Street_30,2103,2105,2112,1,1.9361724514176581,TIME,1708600500
Wall_Street_30,2114,2115,2116,1,-1.0326497610837577,SL,1708610400
Wall_Street_30,2117,2118,2118,1,-1.032649761083854,SL,1708613100
Japan_225,2149,2151,2154,-1,-1.0695674428640092,SL,1708647300
Wall_Street_30,2207,2208,2208,1,-1.032649761083932,SL,1708697700
Wall_Street_30,2211,2213,2214,1,-1.0326497610836836,SL,1708701300
US_Tech_100,2215,2216,2217,-1,-1.0243547327929885,SL,1708704000
US_Tech_100,2246,2248,2255,-1,-0.17059555477248564,TIME,1708908300
Japan_225,2243,2245,2252,-1,0.4553304447236876,TIME,1708908300
Wall_Street_30,2296,2297,2299,1,-1.0326497610837728,SL,1708954200
Wall_Street_30,2300,2301,2302,1,-1.0326497610838865,SL,1708957800
Wall_Street_30,2316,2318,2318,-1,-1.0326497610836842,SL,1708972200
Japan_225,2313,2316,2323,-1,0.743171855542715,TIME,1708971300
Japan_225,2336,2337,2339,1,-1.0695674428640571,SL,1708995600
Japan_225,2341,2345,2346,-1,-1.069567442864051,SL,1709000100
US_Tech_100,2365,2368,2369,1,-1.024354732793093,SL,1709019000
Wall_Street_30,2392,2394,2400,-1,2.9673502389161266,TP,1709044200
US_Tech_100,2413,2417,2424,1,0.48306656992609265,TIME,1709062200
US_Tech_100,2452,2453,2455,-1,-1.0243547327928917,SL,1709100900
Wall_Street_30,2456,2457,2459,-1,2.9673502389164974,TP,1709105400
Wall_Street_30,2485,2486,2487,-1,-1.0326497610838403,SL,1709131500
Wall_Street_30,2490,2491,2498,1,-1.0326497610836995,SL,1709136000
Wall_Street_30,2504,2505,2506,-1,-1.0326497610837806,SL,1709148600
Japan_225,2504,2507,2514,-1,2.130385007193277,TIME,1709150400
Japan_225,2516,2517,2517,-1,-1.0695674428640258,SL,1709164800
Japan_225,2526,2527,2531,-1,-1.069567442864053,SL,1709173800
Wall_Street_30,2550,2551,2558,-1,1.1111570441827856,TIME,1709193600
Wall_Street_30,2574,2575,2576,1,-1.0326497610837515,SL,1709215200
Japan_225,2572,2573,2576,1,-1.0695674428640725,SL,1709215200
US_Tech_100,2577,2579,2579,1,-1.0243547327930416,SL,1709217000
