symbol,group,bars_used,med_spread,med_atr,spread_atr_side,comm_atr_side,cost_atr_side,pass
BTCUSD,Crypto I CFD,19942,1.0,213.237857,0.0023,0.0,0.0023,True
BNBUSD,Crypto II CFD,19938,0.01,1.879286,0.0027,0.0,0.0027,True
AAVUSD,Crypto II CFD,19959,0.01,0.601429,0.0083,0.0,0.0083,True
LNKUSD,Crypto II CFD,19934,0.001,0.042286,0.0118,0.0,0.0118,True
XAUUSD,Metals CFD,19984,0.35,8.825714,0.0182,0.0028,0.0211,True
US100.cash,Cash CFD,19986,1.45,35.278571,0.0221,0.0,0.0221,True
XAUAUD,Metals CFD,19973,0.56,11.922857,0.0191,0.003,0.0222,True
US30.cash,Cash CFD,19986,2.08,43.307143,0.0254,0.0,0.0254,True
GER40.cash,Cash CFD,19987,1.49,30.797143,0.0258,0.0,0.0258,True
JP225.cash,Cash II CFD,19984,5.34,108.785714,0.0267,0.0,0.0267,True
UNIUSD,Crypto II CFD,19934,0.0012,0.019882,0.0301,0.0,0.0301,True
ICPUSD,Crypto II CFD,19934,0.001,0.016,0.0312,0.0,0.0312,True
ETHUSD,Crypto I CFD,19958,0.6,8.489643,0.0353,0.0,0.0353,True
FETUSD,Crypto II CFD,19964,0.0001,0.001386,0.0361,0.0,0.0361,True
XAUEUR,Metals CFD,19972,0.5,7.232857,0.0336,0.003,0.0366,True
DASHUSD,Crypto I CFD,19934,0.02,0.270714,0.0369,0.0,0.0369,True
US500.cash,Cash CFD,19987,0.55,6.592857,0.0376,0.0,0.0376,True
SOLUSD,Crypto I CFD,19979,0.03,0.391429,0.0382,0.0,0.0382,True
ETCUSD,Crypto I CFD,19935,0.003,0.039429,0.0409,0.0,0.0409,True
IMXUSD,Crypto II CFD,19933,0.0001,0.001043,0.0479,0.0,0.0479,True
BARUSD,Crypto II CFD,19934,4e-05,0.000414,0.0484,0.0,0.0484,True
UKOIL.cash,Cash II CFD,19981,0.02,0.199214,0.0548,0.0,0.0548,False
AUS200.cash,Cash II CFD,19965,1.0,9.314286,0.055,0.0,0.055,False
XLMUSD,Crypto II CFD,19986,0.0001,0.000857,0.0583,0.0,0.0583,False
GBPUSD,Forex,19971,4e-05,0.000719,0.0249,0.0348,0.0596,False
USOIL.cash,Cash II CFD,19980,0.022,0.212786,0.0601,0.0,0.0601,False
EURUSD,Forex,6816,1e-05,0.000491,0.0112,0.0509,0.062,False
EU50.cash,Cash II CFD,19971,1.06,8.585714,0.0653,0.0,0.0653,False
FRA40.cash,Cash II CFD,19984,1.61,12.085714,0.0685,0.0,0.0685,False
XMRUSD,Crypto II CFD,19987,0.3,2.167857,0.0692,0.0,0.0692,False
UK100.cash,Cash CFD,19986,1.45,9.914286,0.0698,0.0,0.0698,False
USDJPY,Forex,19977,0.004,0.086,0.0244,0.0472,0.0716,False
GRTUSD,Crypto II CFD,19936,2e-05,0.000134,0.0745,0.0,0.0745,False
AUDUSD,Forex,19971,2e-05,0.000483,0.0229,0.0518,0.0747,False
HK50.cash,Cash II CFD,19982,6.14,45.742857,0.0748,0.0,0.0748,False
XAGUSD,Metals CFD,19972,0.042,0.297571,0.0742,0.0017,0.0758,False
XAGAUD,Metals CFD,19967,0.059,0.402143,0.0742,0.0018,0.076,False
GBPNZD,Forex,19968,0.00012,0.001365,0.0465,0.0318,0.0783,False
XAGEUR,Metals CFD,19963,0.036,0.247786,0.079,0.0018,0.0808,False
USDCHF,Forex,19976,4e-05,0.000459,0.0383,0.0439,0.0822,False
EURAUD,Forex,19976,0.00011,0.00097,0.0525,0.0372,0.0896,False
GBPAUD,Forex,19972,0.00015,0.001135,0.0583,0.0318,0.0901,False
CHFJPY,Forex,19973,0.013,0.112143,0.056,0.0362,0.0922,False
EURNZD,Forex,19968,0.00012,0.001155,0.055,0.0376,0.0926,False
GBPJPY,Forex,19969,0.016,0.121143,0.065,0.0335,0.0985,False
DOGEUSD,Crypto II CFD,19986,9e-05,0.000443,0.1016,0.0,0.1016,False
MANUSD,Crypto II CFD,19936,0.0001,0.000486,0.1029,0.0,0.1029,False
AUDJPY,Forex,19970,0.008,0.0795,0.0527,0.0511,0.1037,False
GBPCAD,Forex,19970,0.00011,0.000874,0.0638,0.0405,0.1043,False
USDCAD,Forex,19970,3e-05,0.000488,0.0333,0.0726,0.1059,False
EURJPY,Forex,19973,0.012,0.090643,0.0633,0.0448,0.1081,False
EURGBP,Forex,19977,3e-05,0.000308,0.05,0.0606,0.1106,False
SPN35.cash,Cash II CFD,19983,5.4,23.407143,0.1161,0.0,0.1161,False
NZDUSD,Forex,19976,5e-05,0.000429,0.0599,0.0583,0.1183,False
ADAUSD,Crypto I CFD,19934,0.0003,0.001264,0.1186,0.0,0.1186,False
NZDJPY,Forex,19967,0.008,0.067786,0.0625,0.0599,0.1224,False
GBPCHF,Forex,19967,9e-05,0.000536,0.0872,0.0376,0.1248,False
US2000.cash,Cash II CFD,19964,0.92,3.750714,0.1274,0.0,0.1274,False
AUDCHF,Forex,19966,5e-05,0.000364,0.0732,0.0555,0.1287,False
USDILS,Exotics,19970,0.00108,0.005006,0.1156,0.0152,0.1307,False
XRPUSD,Crypto I CFD,19979,0.0015,0.005429,0.1382,0.0,0.1382,False
CADJPY,Forex,19967,0.01,0.062929,0.0752,0.0645,0.1397,False
VECUSD,Crypto II CFD,19960,1e-05,3.6e-05,0.14,0.0,0.14,False
EURCAD,Forex,19969,0.00011,0.000664,0.0892,0.0534,0.1426,False
AUDCAD,Forex,19969,8e-05,0.000542,0.0781,0.0654,0.1435,False
AUDNZD,Forex,19970,6e-05,0.000521,0.0623,0.0834,0.1457,False
EURCHF,Forex,19972,6e-05,0.000341,0.0966,0.0591,0.1557,False
NZDCAD,Forex,19967,9e-05,0.000491,0.0965,0.0722,0.1687,False
BCHUSD,Crypto I CFD,19937,0.59,1.676429,0.176,0.0,0.176,False
COCOA.c,Agriculture,19767,15.6,53.728571,0.1349,0.0465,0.1814,False
CADCHF,Forex,19966,7e-05,0.000304,0.1255,0.0665,0.192,False
DXY.cash,Cash III CFD,19976,0.017,0.045,0.1964,0.0,0.1964,False
XCUUSD,Metals CFD,19982,0.43,1.265,0.1796,0.0198,0.1994,False
NZDCHF,Forex,19967,8e-05,0.000304,0.1393,0.0663,0.2056,False
DOTUSD,Crypto I CFD,19952,0.003,0.006714,0.2211,0.0,0.2211,False
GALUSD,Crypto II CFD,19971,1e-05,2.1e-05,0.2333,0.0,0.2333,False
AVAUSD,Crypto I CFD,19944,0.02,0.041429,0.2373,0.0,0.2373,False
SANUSD,Crypto II CFD,19938,0.0002,0.000421,0.2373,0.0,0.2373,False
ASML,Equities I CFD,2978,0.31,10.206786,0.0153,0.2449,0.2603,False
USDMXN,Exotics,19974,0.00467,0.010375,0.2193,0.0423,0.2616,False
ALGUSD,Crypto II CFD,19956,0.0003,0.000543,0.2763,0.0,0.2763,False
USDNOK,Exotics,19976,0.00499,0.009656,0.2527,0.0252,0.2779,False
N25.cash,Cash II CFD,19987,1.39,1.414286,0.2919,0.0,0.2919,False
NERUSD,Crypto II CFD,19941,0.006,0.008929,0.3066,0.0,0.3066,False
XPTUSD,Metals CFD,19978,5.04,8.103929,0.3085,0.0031,0.3116,False
USDHUF,Exotics,19967,0.195,0.309357,0.2969,0.0253,0.3222,False
USDZAR,Exotics,19966,0.00968,0.018271,0.3031,0.0224,0.3255,False
EURNOK,Exotics,19985,0.00568,0.009531,0.3002,0.0256,0.3258,False
USDCNH,Exotics,19974,0.00057,0.001394,0.2233,0.1219,0.3452,False
USDSEK,Exotics,19970,0.00494,0.007829,0.3382,0.0309,0.3691,False
USDSGD,Exotics,19978,0.00026,0.000436,0.2981,0.074,0.3722,False
LTCUSD,Crypto I CFD,19964,0.15,0.198214,0.3784,0.0,0.3784,False
XPDUSD,Metals CFD,19982,6.52,7.322143,0.4365,0.0034,0.4399,False
USDPLN,Exotics,19970,0.00189,0.002326,0.4043,0.0408,0.445,False
EURHUF,Exotics,19969,0.222,0.253643,0.4209,0.0309,0.4517,False
USDCZK,Exotics,19971,0.0113,0.012829,0.462,0.0414,0.5034,False
USDHKD,Exotics,19968,0.00021,0.000449,0.2351,0.4361,0.6711,False
XTZUSD,Crypto II CFD,19952,0.003,0.001714,0.75,0.0,0.75,False
AMD,Equities I CFD,2158,0.1,3.271786,0.0187,0.7641,0.7828,False
EURPLN,Exotics,19969,0.0021,0.001346,0.7721,0.0705,0.8425,False
EURCZK,Exotics,19970,0.0132,0.007679,0.9409,0.0691,1.01,False
LMT,Equities I CFD,2978,0.21,2.400357,0.0434,1.0415,1.0849,False
AVGO,Equities I CFD,2978,0.1,2.281786,0.0225,1.0956,1.1181,False
LVMH,Equities II CFD,19965,0.11,1.995714,0.0254,1.096,1.1214,False
META,Equities I CFD,19957,0.09,2.211429,0.0167,1.1305,1.1472,False
TSLA,Equities I CFD,19973,0.04,1.975,0.0112,1.2658,1.2771,False
FDX,Equities I CFD,2978,0.18,1.707143,0.0559,1.4644,1.5203,False
GE,Equities I CFD,2978,0.11,1.635357,0.036,1.5287,1.5647,False
SNOW,Equities I CFD,2978,0.12,1.606429,0.0396,1.5562,1.5958,False
MSTR,Equities I CFD,2971,0.1,1.578571,0.0322,1.5837,1.6159,False
ARM,Equities I CFD,3287,0.12,1.559286,0.0393,1.6033,1.6426,False
NATGAS.cash,Commodities,19983,0.039,0.013429,1.6913,0.0,1.6913,False
COFFEE.c,Agriculture,19896,0.31,1.490714,0.0943,1.677,1.7714,False
IBM,Equities I CFD,2978,0.11,1.319643,0.0428,1.8945,1.9372,False
RACE,Equities I CFD,19984,0.33,1.347143,0.1131,1.8558,1.9688,False
SPCX,Equities I CFD,446,4.01,2.187857,0.8846,1.1427,2.0273,False
MSFT,Equities I CFD,19982,0.04,1.234286,0.0166,2.0255,2.0421,False
BRK.B,Equities I CFD,2892,0.11,1.196429,0.0485,2.0896,2.1381,False
